epoch,avg_loss,avg_ddpm,avg_x0_latent,avg_recon_aux,avg_perc,avg_fft,avg_lap,avg_patch_perc,avg_contrast,avg_local_contrast,lr
1,33.619526623797626,0.9957296294142962,29.814578101241043,0.09550276983864651,0.4766165456297071,0.7416286711040172,0.21904815434858332,0.09367490094958927,0.9434046562940213,0.23934309491393893,0.0001622
2,24.509004272456234,0.7170132085883073,21.516472242425774,0.07228817706916174,0.4345452654854143,0.7312198189419089,0.16301504957562016,0.0741617141518875,0.6336926852436747,0.16659624060631975,0.0003244
3,12.54022294069777,0.42514452009327464,9.970987732408501,0.07020540350563502,0.4082645164152697,0.6979287847343708,0.1362002495166406,0.06724332611543918,0.6244285568806232,0.13981977492139092,0.0004866
4,8.373102922621843,0.3236097563701221,5.956543567536443,0.07065465858001745,0.39658646853284685,0.6910348444184893,0.127339223066733,0.06616399918812638,0.6097086430808619,0.13146175725704792,0.0006488
5,6.435378332026349,0.26864707949037325,4.079024285659121,0.0707588573233322,0.38625516239944135,0.6706837130533635,0.11267651013947298,0.06166716161816761,0.6633171054331354,0.12234846393677662,0.0008110000000000001
6,5.726473361731458,0.2612455350722378,3.3666809851535664,0.07419149006881123,0.38504881818770775,0.6665080887174782,0.11244492985436787,0.06200210740227073,0.6749384707039734,0.12341295356337445,0.0009732
7,5.184205890142815,0.2717326578877076,2.9361801123368276,0.06879630662574354,0.3752411855005748,0.6585923962469606,0.10485960502733285,0.05940093879350237,0.5941939362670432,0.11520875453416134,0.0009998145003416602
8,4.747955582879769,0.2620159540412679,2.490496502587464,0.08013507478288232,0.37921722158881505,0.6570040039010759,0.10576955818383967,0.06029866610535417,0.5952286627947476,0.11778992010709978,0.000999104092156055
9,4.401243976541277,0.25247833602424397,2.207795612739098,0.07423657811397248,0.37188966865346995,0.6462294976014539,0.103706826796955,0.05954385654823958,0.5698192923957925,0.11554428914150754,0.0009978623038822529
10,4.124753892642208,0.2620696025399856,2.009566719373906,0.06613011247651829,0.3635068551330619,0.6378629750006002,0.09682624160085888,0.056462387492335904,0.5257979511121419,0.10653104701075983,0.0009960905273276085
